,date,year,month,day,area,place,title
204,2016/3/3,2016,3,3,Africa, 埃及,與以色列大使共進晚餐惹議，埃及議員遭國會除名 
205,2016/3/3,2016,3,3,Africa, 坦尚尼亞,南蘇丹加入「東非共同體」成為第六個成員國 
206,2016/3/1,2016,3,1,Africa, 索馬利亞,索馬利亞連環爆炸案，激進組織「青年黨」坦承犯案 
207,2016/3/1,2016,3,1,Africa, 辛巴威,辛巴威總統豪擲80萬美元辦生日趴，引發外界抨擊 
208,2016/2/26,2016,2,26,Africa, 蒲隆地,人權組織：蒲隆地維安部隊攻擊平民 
209,2016/2/24,2016,2,24,Africa, 蒲隆地,"潘基文：蒲隆地總統承諾釋放2,000人 "
210,2016/2/23,2016,2,23,Africa, 衣索比亞,「人權觀察」：衣索比亞政府鎮壓示威民眾 
211,2016/2/22,2016,2,22,Africa, 中非共和國,中非共和國大選結果出爐，新總統將面臨嚴峻挑戰 
212,2016/2/22,2016,2,22,Africa, 尼日,尼日舉行總統與國會選舉 
213,2016/2/19,2016,2,19,Africa, 烏干達,烏干達大選狀況頻傳，在野候選人再度被捕 
214,2016/2/19,2016,2,19,Africa, 奈及利亞,奈軍自「博科聖地」救出195名人質 
215,2016/2/18,2016,2,18,Africa, 烏干達,烏干達大選，現任總統尋求第5任期 
216,2016/2/17,2016,2,17,Africa, 塞內加爾,選舉承諾跳票，塞內加爾總統將做滿7年任期 
217,2016/2/16,2016,2,16,Africa, 烏干達,烏干達總統大選前夕，總統候選人一度被捕 
218,2016/2/16,2016,2,16,Africa, 安哥拉,安哥拉爆發「黃熱病」疫情 
219,2016/2/15,2016,2,15,Africa, 中非共和國,中非共和國進行第二輪總統大選 
220,2016/2/15,2016,2,15,Africa, 奈及利亞,奈國2村落遭「博科聖地」攻擊，30人喪生 
221,2016/2/3,2016,2,3,Africa, 索馬利亞,索馬利亞客機空中爆炸，緊急迫降成功 
222,2016/2/2,2016,2,2,Africa, 史瓦濟蘭,非洲乾旱造成史瓦濟蘭農業損失慘重 
223,2016/2/1,2016,2,1,Africa, 衣索比亞,衣索比亞乾旱加劇，引發饑荒危機 
224,2016/2/1,2016,2,1,Africa, 奈及利亞,奈及利亞遭「博科聖地」攻擊，至少65死 
225,2016/1/30,2016,1,30,Africa, 中非共和國,歐盟駐中非部隊涉嫌性侵該國兒童 
226,2016/1/29,2016,1,29,Africa, 南非,對抗通膨壓力，南非央行再度升息半碼 
227,2016/1/28,2016,1,28,Africa, 奈及利亞,奈及利亞自殺攻擊，造成至少13人死亡 
228,2016/1/26,2016,1,26,Africa, 喀麥隆,喀麥隆北部發生自殺攻擊，至少32死 
229,2016/12/20,2016,12,20,Central and South America, 哥倫比亞,哥倫比亞總統獲頒天主教「燈光」和平獎 
230,2016/12/20,2016,12,20,Central and South America, 厄瓜多,厄瓜多沿海發生規模5/8強震，釀2死6傷 
231,2016/12/19,2016,12,19,Central and South America, 委內瑞拉,委內瑞拉總統宣布延後廢鈔 
232,2016/12/16,2016,12,16,Central and South America, 哥倫比亞,哥倫比亞赦免百餘名FARC叛軍 
233,2016/12/16,2016,12,16,Central and South America, 古巴,古巴擬以蘭姆酒償還捷克債務 
234,2016/12/15,2016,12,15,Central and South America, 墨西哥,墨西哥參議院將藥用大麻合法化 
235,2016/12/15,2016,12,15,Central and South America, 智利,智利前第一夫人涉貪遭調查 
236,2016/12/14,2016,12,14,Central and South America, 秘魯,秘魯公視首度播放原住民語新聞 
237,2016/12/14,2016,12,14,Central and South America, 巴西,巴西國會通過20年撙節方案 
238,2016/12/13,2016,12,13,Central and South America, 古巴,古巴與谷歌將共同提升國內網路服務 
239,2016/12/13,2016,12,13,Central and South America, 委內瑞拉,為打擊黑幫，委內瑞拉關閉哥倫比亞邊界72小時 
240,2016/12/12,2016,12,12,Central and South America, 委內瑞拉,為打擊走私，委內瑞拉將以硬幣取代最高面額鈔票 
241,2016/12/12,2016,12,12,Central and South America, 哥倫比亞,諾貝爾和平獎得主籲「重新思考」反毒戰爭 
242,2016/12/9,2016,12,9,Central and South America, 古巴,古巴企業主籲川普持續改善美古關係 
243,2016/12/9,2016,12,9,Central and South America, 巴西,巴西參院議長被取消總統繼位資格 
244,2016/12/8,2016,12,8,Central and South America, 玻利維亞,玻利維亞就巴西足球隊空難調查航空公司 
245,2016/12/8,2016,12,8,Central and South America, 委內瑞拉,委內瑞拉朝野對話破裂，國內政治危機依舊無解 
246,2016/12/7,2016,12,7,Central and South America, 巴西,里約民眾反撙節示威，與警方爆發衝突 
247,2016/12/7,2016,12,7,Central and South America, 巴西,巴西參院拒絕解除涉貪議長職務 
248,2016/12/6,2016,12,6,Central and South America, 巴西,巴西參院議長涉貪，遭法院下令去職 
249,2016/12/5,2016,12,5,Central and South America, 古巴,卡斯楚骨灰下葬古巴革命起源地聖地牙哥 
250,2016/12/5,2016,12,5,Central and South America, 委內瑞拉,因應高通膨，委內瑞拉央行將發行新鈔 
251,2016/12/2,2016,12,2,Central and South America, 哥倫比亞,哥倫比亞國會通過新版和平協議 
252,2016/12/2,2016,12,2,Central and South America, 海地,潘基文首次為海地霍亂疫情擴散致歉 
253,2016/12/1,2016,12,1,Central and South America, 哥倫比亞,哥倫比亞參院通過新版和平協議 
254,2016/12/1,2016,12,1,Central and South America, 巴西,巴西足球隊空難錄音曝光，墜機時燃料已用盡 
255,2016/11/30,2016,11,30,Central and South America, 巴西,巴西足球隊包機在哥倫比亞山區墜毀，機上77人僅6人生還 
256,2016/11/29,2016,11,29,Central and South America, 海地,海地商人莫伊斯贏得第一回合總統大選 
257,2016/11/28,2016,11,28,Central and South America, 古巴,古巴革命領袖卡斯楚辭世 
258,2016/11/25,2016,11,25,Central and South America, 哥倫比亞,哥倫比亞政府與叛軍FARC簽署新的和平協議 
259,2016/11/24,2016,11,24,Central and South America, 哥倫比亞,哥倫比亞將與叛軍FARC簽署新的和平協定 
260,2016/11/24,2016,11,24,Central and South America, 玻利維亞,玻利維亞大旱、水庫見底，學校提早停課 
261,2016/11/22,2016,11,22,Central and South America, 海地,海地展開計票工作 
262,2016/11/21,2016,11,21,Central and South America, 祕魯,APEC領袖重申對抗各種形式貿易保護主義 
263,2016/11/21,2016,11,21,Central and South America, 海地,海地舉行總統大選 
264,2016/11/18,2016,11,18,Central and South America, 秘魯,APEC年度會議在秘魯利馬展開 
265,2016/11/17,2016,11,17,Central and South America, 宏都拉斯,中美洲聯合部隊展開行動打擊幫派及組織犯罪 
