,title,date,place
194,索馬利亞客機空中爆炸，緊急迫降成功 ,2016.02.03, 索馬利亞
195,非洲乾旱造成史瓦濟蘭農業損失慘重 ,2016.02.02, 史瓦濟蘭
196,衣索比亞乾旱加劇，引發饑荒危機 ,2016.02.01, 衣索比亞
197,奈及利亞遭「博科聖地」攻擊，至少65死 ,2016.02.01, 奈及利亞
198,歐盟駐中非部隊涉嫌性侵該國兒童 ,2016.01.30, 中非共和國
199,對抗通膨壓力，南非央行再度升息半碼 ,2016.01.29, 南非
200,奈及利亞自殺攻擊，造成至少13人死亡 ,2016.01.28, 奈及利亞
201,喀麥隆北部發生自殺攻擊，至少32死 ,2016.01.26, 喀麥隆
202,南非資深政治人物戈德伯格呼籲執政黨撤換領導階層 ,2016.01.25, 南非
203,青年黨攻擊索馬利亞餐廳，釀20人死亡 ,2016.01.22, 索馬利亞
204,開羅近郊發生爆炸，造成至少6人死亡 ,2016.01.22, 埃及
205,布吉納法索恐攻，仍有3名槍手在逃 ,2016.01.20, 布吉納法索
206,塞內加爾總統尋求縮減總統任期 ,2016.01.19, 塞內加爾
207,布吉納法索首都遭恐攻，造成28人罹難 ,2016.01.18, 布吉納法索
208,獅子山共和國再度出現伊波拉死亡病例 ,2016.01.15, 獅子山共和國
209,世衛組織將宣布賴比瑞亞伊波拉疫情結束 ,2016.01.14, 賴比瑞亞
210,南非熱浪持續一週，造成11人死亡 ,2016.01.11, 南非
211,暌違近4年，埃及國會首度開議 ,2016.01.11, 埃及
212,「阿拉伯聯盟」力挺利雅德，譴責伊朗未保護沙國使館 ,2016.01.11, 埃及
213,「聯合國」駐中非共和國維和部隊再曝性侵醜聞 ,2016.01.06, 中非共和國
214,利比亞東部石油港遭「伊斯蘭國」武裝分子攻擊 ,2016.01.05, 利比亞
215,盧安達總統宣布角逐第三任期 ,2016.01.04, 盧安達
216,WHO：幾內亞結束「伊波拉」疫情 ,2015.12.30, 幾內亞
217,蒲隆地瀕臨內戰邊緣，敵對雙方在烏干達舉行和談 ,2015.12.29, 烏干達
218,直升機迫降墜毀，貝南總理津蘇安然無恙 ,2015.12.28, 貝南
219,博科聖地發動恐攻，奈國東北至少15死 ,2015.12.28, 奈及利亞
220,奈及利亞發生天然氣廠爆炸意外，100多人死亡 ,2015.12.25, 奈及利亞
221,臺灣協助史瓦濟蘭推動合作計畫案 ,2015.12.23, 史瓦濟蘭
222,布吉納法索對前總統龔保雷發布國際通緝令 ,2015.12.22, 布吉納法索
223,機上疑似有炸彈，「法航」班機緊急降落肯亞 ,2015.12.21, 肯亞
224,南非民眾發動示威要求總統下台 ,2015.12.17, 南非
